PyIndex,Year,University,State,List_Tuition,Rank,Private,CPI,Southern,Lag_APGAF,Lag_AFSLAF,Lag_Applicants,MPGA,MUFSLA,Key
74,2014,Cornell University,NY,47286.00,16,1,236.7,0,4331,4642,43037,5790,3500,Cornell University 2014
75,2014,Washington University in St Louis,MO,46467.00,14,1,236.7,0,4016,5410,29211,5790,3500,Washington University in St Louis 2014
76,2014,Vanderbilt University,TN,43838.00,17,1,236.7,0,4165,5381,29518,5790,3500,Vanderbilt University 2014
77,2014,Rice University,TX,40566.00,18,1,236.7,0,4280,4375,17728,5790,3500,Rice University 2014
78,2014,University of Notre Dame,IN,46237.00,18,1,236.7,0,4108,4797,17901,5790,3500,University of Notre Dame 2014
79,2014,Emory University,GA,45008.00,20,1,236.7,1,4591,5076,17796,5790,3500,Emory University 2014
80,2014,University of California-Berkeley,CA,12972.00,20,0,236.7,0,4683,5071,73782,5790,3500,University of California-Berkeley 2014
81,2014,Georgetown University,DC,46744.00,20,1,236.7,0,4267,3698,19505,5790,3500,Georgetown University 2014
82,2014,University of Southern California,CA,48280.00,23,1,236.7,0,4585,5655,51920,5790,3500,University of Southern California 2014
83,2014,University of California-Los Angeles,CA,12705.00,23,0,236.7,0,4533,5606,86537,5790,3500,University of California-Los Angeles 2014
84,2014,Carnegie Mellon University,PA,49022.00,23,1,236.7,0,4221,5620,19812,5790,3500,Carnegie Mellon University 2014
85,2014,University of Virginia-Main Campus,VA,13208.00,23,0,236.7,1,4230,5930,31021,5790,3500,University of Virginia-Main Campus 2014
86,2014,Wake Forest University,NC,46200.00,23,1,236.7,1,4071,6047,11119,5790,3500,Wake Forest University 2014
87,2014,Tufts University,MA,48643.00,28,1,236.7,0,4373,4302,19074,5790,3500,Tufts University 2014
88,2014,University of Michigan-Ann Arbor,MI,13486.00,28,0,236.7,0,4244,4645,49776,5790,3500,University of Michigan-Ann Arbor 2014
89,2014,University of North Carolina at Chapel Hill,NC,8336.00,30,0,236.7,1,4283,5581,31332,5790,3500,University of North Carolina at Chapel Hill 2014
90,2013,Princeton University,NJ,40170.00,1,1,233,0,4239,4364,26499,5820,3500,Princeton University 2013
91,2013,Harvard University,MA,42292.00,1,1,233,0,4458,4028,35023,5820,3500,Harvard University 2013
92,2013,Yale University,CT,44000.00,3,1,233,0,4129,4873,28977,5820,3500,Yale University 2013
93,2013,Columbia University in the City of New York,NY,49138.00,4,1,233,0,4512,6295,31851,5820,3500,Columbia University in the City of New York 2013
94,2013,University of Chicago,IL,47514.00,4,1,233,0,4164,4619,30304,5820,3500,University of Chicago 2013
95,2013,Stanford University,CA,43683.00,6,1,233,0,4214,5354,38828,5820,3500,Stanford University 2013
96,2013,Massachusetts Institute of Technology,MA,43498.00,6,1,233,0,4329,6203,18989,5820,3500,Massachusetts Institute of Technology 2013
97,2013,University of Pennsylvania,PA,45890.00,8,1,233,0,4413,5058,31282,5820,3500,University of Pennsylvania 2013
98,2013,Duke University,NC,45376.00,8,1,233,1,4078,4295,30374,5820,3500,Duke University 2013
99,2013,California Institute of Technology,CA,41538.00,10,1,233,0,4499,4561,5535,5820,3500,California Institute of Technology 2013
100,2013,Dartmouth College,NH,46752.00,10,1,233,0,4259,4844,23110,5820,3500,Dartmouth College 2013
101,2013,Johns Hopkins University,MD,45470.00,13,1,233,1,4095,4416,21336,5820,3500,Johns Hopkins University 2013
102,2013,Northwestern University,IL,45527.00,12,1,233,0,4116,4866,32060,5820,3500,Northwestern University 2013
103,2013,Brown University,RI,45612.00,15,1,233,0,4125,5398,28919,5820,3500,Brown University 2013
104,2013,Cornell University,NY,45358.00,15,1,233,0,4238,4300,39999,5820,3500,Cornell University 2013
105,2013,Washington University in St Louis,MO,44841.00,14,1,233,0,3696,5795,30117,5820,3500,Washington University in St Louis 2013
106,2013,Vanderbilt University,TN,42978.00,17,1,233,0,4185,5309,31099,5820,3500,Vanderbilt University 2013
107,2013,Rice University,TX,38941.00,17,1,233,0,4187,4284,15415,5820,3500,Rice University 2013
108,2013,University of Notre Dame,IN,44605.00,17,1,233,0,4081,4750,17647,5820,3500,University of Notre Dame 2013
109,2013,Emory University,GA,44008.00,20,1,233,1,4540,5176,17475,5820,3500,Emory University 2013
110,2013,University of California-Berkeley,CA,12864.00,21,0,233,0,4625,4966,61717,5820,3500,University of California-Berkeley 2013
111,2013,Georgetown University,DC,44805.00,21,1,233,0,4221,4035,20115,5820,3500,Georgetown University 2013
112,2013,University of Southern California,CA,46298.00,24,1,233,0,4326,5942,47358,5820,3500,University of Southern California 2013
113,2013,University of California-Los Angeles,CA,12697.00,24,0,233,0,4417,5706,72676,5820,3500,University of California-Los Angeles 2013
114,2013,Carnegie Mellon University,PA,47642.00,23,1,233,0,4539,6289,18884,5820,3500,Carnegie Mellon University 2013
115,2013,University of Virginia-Main Campus,VA,12668.00,24,0,233,1,4167,6011,28984,5820,3500,University of Virginia-Main Campus 2013
116,2013,Wake Forest University,NC,44742.00,27,1,233,1,4444,5094,11121,5820,3500,Wake Forest University 2013
