School ,rank,year2,key,,,,
University of California-Santa Barbara,44,2009,University of California-Santa Barbara 2009,,,,
University of Illinois at Urbana-Champaign,40,2009,University of Illinois at Urbana-Champaign 2009,,,,
Rensselaer Polytechnic Institute,41,2009,Rensselaer Polytechnic Institute 2009,,,,
University of Washington-Seattle Campus,41,2009,University of Washington-Seattle Campus 2009,,,,
University of California-Irvine,44,2009,University of California-Irvine 2009,,,,
Pennsylvania State University-Main Campus State,47,2009,Pennsylvania State University-Main Campus State 2009,,,,
University of Miami,51,2009,University of Miami 2009,,,,
The University of Texas at Austin,47,2009,The University of Texas at Austin 2009,,,,
Yeshiva University,50,2009,Yeshiva University 2009,,,,
University of Florida,49,2009,University of Florida 2009,,,,
Tulane University of Louisiana,51,2009,Tulane University of Louisiana 2009,,,,
Boston University,60,2009,Boston University 2009,,,,
George Washington University,53,2009,George Washington University 2009,,,,
Ohio State University-Main Campus,56,2009,Ohio State University-Main Campus 2009,,,,
Pepperdine University,56,2009,Pepperdine University 2009,,,,
University of Maryland-College Park,53,2009,University of Maryland-College Park 2009,,,,
Syracuse University,53,2009,Syracuse University 2009,,,,
Fordham University,61,2009,Fordham University 2009,,,,
University of Pittsburgh-Pittsburgh Campus,58,2009,University of Pittsburgh-Pittsburgh Campus 2009,,,,
University of Georgia,58,2009,University of Georgia 2009,,,,
Southern Methodist University,66,2009,Southern Methodist University 2009,,,,
University of Connecticut,66,2009,University of Connecticut 2009,,,,
Purdue University-Main Campus,66,2009,Purdue University-Main Campus 2009,,,,
Texas A & M University-College Station,64,2009,Texas A & M University-College Station 2009,,,,
Clemson University,61,2009,Clemson University 2009,,,,
Worcester Polytechnic Institute,71,2009,Worcester Polytechnic Institute 2009,,,,
Rutgers University-New Brunswick,64,2009,Rutgers University-New Brunswick 2009,,,,
University of Minnesota-Twin Cities,61,2009,University of Minnesota-Twin Cities 2009,,,,
Northeastern University,96,2009,Northeastern University 2009,,,,
University of Iowa,66,2009,University of Iowa 2009,,,,
Virginia Polytechnic Institute and State University,71,2009,Virginia Polytechnic Institute and State University 2009,,,,
University of Delaware,71,2009,University of Delaware 2009,,,,
Michigan State University,71,2009,Michigan State University 2009,,,,
Brigham Young University-Provo,113,2009,Brigham Young University-Provo 2009,,,,
Indiana University-Bloomington,71,2009,Indiana University-Bloomington 2009,,,,
Baylor University,76,2009,Baylor University 2009,,,,
Miami University-Oxford,66,2009,Miami University-Oxford 2009,,,,
Marquette University,77,2009,Marquette University 2009,,,,
Colorado School of Mines,80,2009,Colorado School of Mines 2009,,,,
American University,83,2009,American University 2009,,,,
UC University of California-Santa Cruz,96,2009,UC University of California-Santa Cruz 2009,,,,
Stevens Institute of Technology,83,2009,Stevens Institute of Technology 2009,,,,
Clark University,80,2009,Clark University 2009,,,,
The University of Alabama,83,2009,The University of Alabama 2009,,,,
University of Colorado Boulder,77,2009,University of Colorado Boulder 2009,,,,
Binghamton University,77,2009,Binghamton University 2009,,,,
University of Tulsa,83,2009,University of Tulsa 2009,,,,
University of Denver,89,2009,University of Denver 2009,,,,
University of Vermont,89,2009,University of Vermont 2009,,,,
Saint Louis University,80,2009,Saint Louis University 2009,,,,
Auburn University,96,2009,Auburn University 2009,,,,
Drexel University,89,2009,Drexel University 2009,,,,
Iowa State University,89,2009,Iowa State University 2009,,,,
Stony Brook University,96,2009,Stony Brook University 2009,,,,
University of Massachusetts-Amherst,102,2009,University of Massachusetts-Amherst 2009,,,,
University of Missouri-Columbia,96,2009,University of Missouri-Columbia 2009,,,,
North Carolina State University at Raleigh,83,2009,North Carolina State University at Raleigh 2009,,,,
Texas Christian University,113,2009,Texas Christian University 2009,,,,
University of Nebraska-Lincoln,89,2009,University of Nebraska-Lincoln 2009,,,,
University of Kansas,89,2009,University of Kansas 2009,,,,
University of San Diego,102,2009,University of San Diego 2009,,,,
University of California-Riverside,89,2009,University of California-Riverside 2009,,,,
Florida State University,102,2009,Florida State University 2009,,,,
The University of Tennessee-Knoxville,108,2009,The University of Tennessee-Knoxville 2009,,,,
University of New Hampshire-Main Campus,113,2009,University of New Hampshire-Main Campus 2009,,,,
University of Oklahoma-Norman Campus,108,2009,University of Oklahoma-Norman Campus 2009,,,,
University of the Pacific,102,2009,University of the Pacific 2009,,,,
University of Dayton,108,2009,University of Dayton 2009,,,,
Illinois Institute of Technology,102,2009,Illinois Institute of Technology 2009,,,,
University of Oregon,108,2009,University of Oregon 2009,,,,
University of South Carolina-Columbia,108,2009,University of South Carolina-Columbia 2009,,,,
Loyola University Chicago,116,2009,Loyola University Chicago 2009,,,,
University of Arizona,96,2009,University of Arizona 2009,,,,
University at Buffalo,121,2009,University at Buffalo 2009,,,,
Howard University,102,2009,Howard University 2009,,,,
Catholic University of America,116,2009,Catholic University of America 2009,,,,
Michigan Technological University,121,2009,Michigan Technological University 2009,,,,
University of Washington-Seattle Campus St,116,2009,University of Washington-Seattle Campus St 2009,,,,
Clarkson University,121,2009,Clarkson University 2009,,,,
Ohio Univ,116,2009,Ohio Univ 2009,,,,
University of Kentucky,116,2009,University of Kentucky 2009,,,,
Colorado State University-Fort Collins,125,2009,Colorado State University-Fort Collins 2009,,,,
University of Arkansas,125,2009,University of Arkansas 2009,,,,
Arizona State University-Tempe,121,2009,Arizona State University-Tempe 2009,,,,
Princeton University,1,2008,Princeton University 2008,,,,
Harvard University,2,2008,Harvard University 2008,,,,
Yale University,3,2008,Yale University 2008,,,,
Columbia University in the City of New York,9,2008,Columbia University in the City of New York 2008,,,,
University of Chicago,9,2008,University of Chicago 2008,,,,
Stanford University,4,2008,Stanford University 2008,,,,
Massachusetts Institute of Technology,7,2008,Massachusetts Institute of Technology 2008,,,,
Pennsylvania State University-Main Campus,5,2008,Pennsylvania State University-Main Campus 2008,,,,
Duke University,8,2008,Duke University 2008,,,,
California Institute of Technology,5,2008,California Institute of Technology 2008,,,,
Dartmouth College,11,2008,Dartmouth College 2008,,,,
Johns Hopkins University,14,2008,Johns Hopkins University 2008,,,,
Northwestern University,14,2008,Northwestern University 2008,,,,
Brown University,14,2008,Brown University 2008,,,,
Cornell University,12,2008,Cornell University 2008,,,,
Washington University in St. Louis,12,2008,Washington University in St. Louis 2008,,,,
Vanderbilt University,19,2008,Vanderbilt University 2008,,,,
Rice University,17,2008,Rice University 2008,,,,
University of Notre Dame,19,2008,University of Notre Dame 2008,,,,
Emory University,17,2008,Emory University 2008,,,,
UC University of California-Berkeley,21,2008,UC University of California-Berkeley 2008,,,,
Georgetown University,23,2008,Georgetown University 2008,,,,
University of Southern California,27,2008,University of Southern California 2008,,,,
University of California-Los Angeles,25,2008,University of California-Los Angeles 2008,,,,
Carnegie Mellon University,22,2008,Carnegie Mellon University 2008,,,,
University of Virginia-Main Campus,23,2008,University of Virginia-Main Campus 2008,,,,
Wake Forest University,30,2008,Wake Forest University 2008,,,,
Tufts University,28,2008,Tufts University 2008,,,,
University of Michigan-Ann Arbor,25,2008,University of Michigan-Ann Arbor 2008,,,,
University of North Carolina at Chapel Hill,28,2008,University of North Carolina at Chapel Hill 2008,,,,
Boston College,35,2008,Boston College 2008,,,,
Brandeis University,31,2008,Brandeis University 2008,,,,
College of William and Mary,33,2008,College of William and Mary 2008,,,,
New York University,34,2008,New York University 2008,,,,
University of Rochester,35,2008,University of Rochester 2008,,,,
Georgia Institute of Technology-Main Campus,35,2008,Georgia Institute of Technology-Main Campus 2008,,,,
University of California-San Diego,38,2008,University of California-San Diego 2008,,,,
Lehigh University,31,2008,Lehigh University 2008,,,,
Case Western Reserve University,41,2008,Case Western Reserve University 2008,,,,
University of California-Davis,42,2008,University of California-Davis 2008,,,,
University of Wisconsin-Madison,38,2008,University of Wisconsin-Madison 2008,,,,
University of California-Santa Barbara,44,2008,University of California-Santa Barbara 2008,,,,
University of Illinois at Urbana-Champaign,38,2008,University of Illinois at Urbana-Champaign 2008,,,,
Rensselaer Polytechnic Institute,44,2008,Rensselaer Polytechnic Institute 2008,,,,
University of Washington-Seattle Campus,42,2008,University of Washington-Seattle Campus 2008,,,,
University of California-Irvine,44,2008,University of California-Irvine 2008,,,,
Pennsylvania State University-Main Campus State,48,2008,Pennsylvania State University-Main Campus State 2008,,,,
University of Miami,52,2008,University of Miami 2008,,,,
The University of Texas at Austin,44,2008,The University of Texas at Austin 2008,,,,
Yeshiva University,52,2008,Yeshiva University 2008,,,,
University of Florida,49,2008,University of Florida 2008,,,,
Tulane University of Louisiana,50,2008,Tulane University of Louisiana 2008,,,,
Boston University,57,2008,Boston University 2008,,,,
George Washington University,54,2008,George Washington University 2008,,,,
Ohio State University-Main Campus,57,2008,Ohio State University-Main Campus 2008,,,,
Pepperdine University,54,2008,Pepperdine University 2008,,,,
University of Maryland-College Park,54,2008,University of Maryland-College Park 2008,,,,
Syracuse University,50,2008,Syracuse University 2008,,,,
Fordham University,67,2008,Fordham University 2008,,,,
University of Pittsburgh-Pittsburgh Campus,59,2008,University of Pittsburgh-Pittsburgh Campus 2008,,,,
University of Georgia,59,2008,University of Georgia 2008,,,,
Southern Methodist University,67,2008,Southern Methodist University 2008,,,,
University of Connecticut,64,2008,University of Connecticut 2008,,,,
Purdue University-Main Campus,64,2008,Purdue University-Main Campus 2008,,,,
Texas A & M University-College Station,62,2008,Texas A & M University-College Station 2008,,,,
Clemson University,67,2008,Clemson University 2008,,,,
Worcester Polytechnic Institute,62,2008,Worcester Polytechnic Institute 2008,,,,
Rutgers University-New Brunswick,59,2008,Rutgers University-New Brunswick 2008,,,,
University of Minnesota-Twin Cities,71,2008,University of Minnesota-Twin Cities 2008,,,,
Northeastern University,96,2008,Northeastern University 2008,,,,
University of Iowa,64,2008,University of Iowa 2008,,,,
Virginia Polytechnic Institute and State University,71,2008,Virginia Polytechnic Institute and State University 2008,,,,
University of Delaware,71,2008,University of Delaware 2008,,,,
Michigan State University,71,2008,Michigan State University 2008,,,,
Brigham Young University-Provo,79,2008,Brigham Young University-Provo 2008,,,,
Indiana University-Bloomington,75,2008,Indiana University-Bloomington 2008,,,,
Baylor University,75,2008,Baylor University 2008,,,,
Miami University-Oxford,67,2008,Miami University-Oxford 2008,,,,
Marquette University,82,2008,Marquette University 2008,,,,
Colorado School of Mines,75,2008,Colorado School of Mines 2008,,,,
American University,85,2008,American University 2008,,,,
UC University of California-Santa Cruz,79,2008,UC University of California-Santa Cruz 2008,,,,
Stevens Institute of Technology,75,2008,Stevens Institute of Technology 2008,,,,
Clark University,91,2008,Clark University 2008,,,,
The University of Alabama,91,2008,The University of Alabama 2008,,,,
University of Colorado Boulder,79,2008,University of Colorado Boulder 2008,,,,
Binghamton University,82,2008,Binghamton University 2008,,,,
University of Tulsa,91,2008,University of Tulsa 2008,,,,
University of Denver,85,2008,University of Denver 2008,,,,
University of Vermont,96,2008,University of Vermont 2008,,,,
Saint Louis University,82,2008,Saint Louis University 2008,,,,
Auburn University,96,2008,Auburn University 2008,,,,
Drexel University,108,2008,Drexel University 2008,,,,
Iowa State University,85,2008,Iowa State University 2008,,,,
Stony Brook University,96,2008,Stony Brook University 2008,,,,
University of Massachusetts-Amherst,96,2008,University of Massachusetts-Amherst 2008,,,,
University of Missouri-Columbia,91,2008,University of Missouri-Columbia 2008,,,,
North Carolina State University at Raleigh,85,2008,North Carolina State University at Raleigh 2008,,,,
Texas Christian University,108,2008,Texas Christian University 2008,,,,
University of Nebraska-Lincoln,91,2008,University of Nebraska-Lincoln 2008,,,,
University of Kansas,85,2008,University of Kansas 2008,,,,
University of San Diego,107,2008,University of San Diego 2008,,,,
University of California-Riverside,96,2008,University of California-Riverside 2008,,,,
Florida State University,112,2008,Florida State University 2008,,,,
The University of Tennessee-Knoxville,96,2008,The University of Tennessee-Knoxville 2008,,,,
University of New Hampshire-Main Campus,108,2008,University of New Hampshire-Main Campus 2008,,,,
University of Oklahoma-Norman Campus,108,2008,University of Oklahoma-Norman Campus 2008,,,,
University of the Pacific,96,2008,University of the Pacific 2008,,,,
University of Dayton,112,2008,University of Dayton 2008,,,,
Illinois Institute of Technology,96,2008,Illinois Institute of Technology 2008,,,,
University of Oregon,112,2008,University of Oregon 2008,,,,
University of South Carolina-Columbia,112,2008,University of South Carolina-Columbia 2008,,,,
Loyola University Chicago,112,2008,Loyola University Chicago 2008,,,,
University of Arizona,96,2008,University of Arizona 2008,,,,
University at Buffalo,118,2008,University at Buffalo 2008,,,,
Howard University,96,2008,Howard University 2008,,,,
Catholic University of America,112,2008,Catholic University of America 2008,,,,
Michigan Technological University,124,2008,Michigan Technological University 2008,,,,
University of Washington-Seattle Campus St,118,2008,University of Washington-Seattle Campus St 2008,,,,
Clarkson University,124,2008,Clarkson University 2008,,,,
Ohio Univ,112,2008,Ohio Univ 2008,,,,
University of Kentucky,118,2008,University of Kentucky 2008,,,,
Colorado State University-Fort Collins,124,2008,Colorado State University-Fort Collins 2008,,,,
University of Arkansas,124,2008,University of Arkansas 2008,,,,
Arizona State University-Tempe,124,2008,Arizona State University-Tempe 2008,,,,
