School ,rank,year2,key,,,,
Northwestern University,13,2015,Northwestern University 2015,,,,
Brown University,16,2015,Brown University 2015,,,,
Cornell University,15,2015,Cornell University 2015,,,,
Washington University in St. Louis,14,2015,Washington University in St. Louis 2015,,,,
Vanderbilt University,16,2015,Vanderbilt University 2015,,,,
Rice University,19,2015,Rice University 2015,,,,
University of Notre Dame,16,2015,University of Notre Dame 2015,,,,
Emory University,21,2015,Emory University 2015,,,,
UC University of California-Berkeley,20,2015,UC University of California-Berkeley 2015,,,,
Georgetown University,21,2015,Georgetown University 2015,,,,
University of Southern California,25,2015,University of Southern California 2015,,,,
University of California-Los Angeles,23,2015,University of California-Los Angeles 2015,,,,
Carnegie Mellon University,25,2015,Carnegie Mellon University 2015,,,,
University of Virginia-Main Campus,23,2015,University of Virginia-Main Campus 2015,,,,
Wake Forest University,27,2015,Wake Forest University 2015,,,,
Tufts University,27,2015,Tufts University 2015,,,,
University of Michigan-Ann Arbor,29,2015,University of Michigan-Ann Arbor 2015,,,,
University of North Carolina at Chapel Hill,30,2015,University of North Carolina at Chapel Hill 2015,,,,
Boston College,31,2015,Boston College 2015,,,,
New York University,32,2015,New York University 2015,,,,
College of William and Mary,33,2015,College of William and Mary 2015,,,,
Brandeis University,35,2015,Brandeis University 2015,,,,
University of Rochester,33,2015,University of Rochester 2015,,,,
Georgia Institute of Technology-Main Campus,36,2015,Georgia Institute of Technology-Main Campus 2015,,,,
Case Western Reserve University,38,2015,Case Western Reserve University 2015,,,,
University of California-San Diego,37,2015,University of California-San Diego 2015,,,,
University of California-Santa Barbara,40,2015,University of California-Santa Barbara 2015,,,,
University of California-Davis,38,2015,University of California-Davis 2015,,,,
Lehigh University,40,2015,Lehigh University 2015,,,,
Rensselaer Polytechnic Institute,42,2015,Rensselaer Polytechnic Institute 2015,,,,
University of California-Irvine,42,2015,University of California-Irvine 2015,,,,
University of Wisconsin-Madison,47,2015,University of Wisconsin-Madison 2015,,,,
University of Illinois at Urbana-Champaign,42,2015,University of Illinois at Urbana-Champaign 2015,,,,
Boston University,42,2015,Boston University 2015,,,,
University of Miami,48,2015,University of Miami 2015,,,,
Pennsylvania State University-Main Campus State,48,2015,Pennsylvania State University-Main Campus State 2015,,,,
Tulane University of Louisiana,54,2015,Tulane University of Louisiana 2015,,,,
University of Washington-Seattle Campus ,48,2015,University of Washington-Seattle Campus  2015,,,,
University of Florida,48,2015,University of Florida 2015,,,,
Northeastern University,42,2015,Northeastern University 2015,,,,
The University of Texas at Austin,53,2015,The University of Texas at Austin 2015,,,,
Pepperdine University,54,2015,Pepperdine University 2015,,,,
George Washington University,54,2015,George Washington University 2015,,,,
Ohio State University-Main Campus,54,2015,Ohio State University-Main Campus 2015,,,,
Yeshiva University,48,2015,Yeshiva University 2015,,,,
Fordham University,58,2015,Fordham University 2015,,,,
University of Maryland-College Park,62,2015,University of Maryland-College Park 2015,,,,
Southern Methodist University,58,2015,Southern Methodist University 2015,,,,
University of Georgia,62,2015,University of Georgia 2015,,,,
Syracuse University,58,2015,Syracuse University 2015,,,,
University of Connecticut,58,2015,University of Connecticut 2015,,,,
Purdue University-Main Campus,62,2015,Purdue University-Main Campus 2015,,,,
Worcester Polytechnic Institute,68,2015,Worcester Polytechnic Institute 2015,,,,
University of Pittsburgh-Pittsburgh Campus,62,2015,University of Pittsburgh-Pittsburgh Campus 2015,,,,
Clemson University,62,2015,Clemson University 2015,,,,
Brigham Young University-Provo,62,2015,Brigham Young University-Provo 2015,,,,
Texas A & M University-College Station,68,2015,Texas A & M University-College Station 2015,,,,
University of Minnesota-Twin Cities,71,2015,University of Minnesota-Twin Cities 2015,,,,
Rutgers University-New Brunswick,70,2015,Rutgers University-New Brunswick 2015,,,,
Virginia Polytechnic Institute and State University,71,2015,Virginia Polytechnic Institute and State University 2015,,,,
Baylor University,71,2015,Baylor University 2015,,,,
American University,71,2015,American University 2015,,,,
University of Iowa,71,2015,University of Iowa 2015,,,,
University of Delaware,76,2015,University of Delaware 2015,,,,
Michigan State University,85,2015,Michigan State University 2015,,,,
Stevens Institute of Technology,76,2015,Stevens Institute of Technology 2015,,,,
Colorado School of Mines,88,2015,Colorado School of Mines 2015,,,,
Indiana University-Bloomington,76,2015,Indiana University-Bloomington 2015,,,,
UC University of California-Santa Cruz,85,2015,UC University of California-Santa Cruz 2015,,,,
Clark University,76,2015,Clark University 2015,,,,
Miami University-Oxford,76,2015,Miami University-Oxford 2015,,,,
Marquette University,76,2015,Marquette University 2015,,,,
University of Massachusetts-Amherst,76,2015,University of Massachusetts-Amherst 2015,,,,
University of Tulsa,88,2015,University of Tulsa 2015,,,,
Texas Christian University,76,2015,Texas Christian University 2015,,,,
University of Denver,88,2015,University of Denver 2015,,,,
Binghamton University,88,2015,Binghamton University 2015,,,,
University of Vermont,85,2015,University of Vermont 2015,,,,
The University of Alabama,88,2015,The University of Alabama 2015,,,,
University of Colorado Boulder,88,2015,University of Colorado Boulder 2015,,,,
University of San Diego,95,2015,University of San Diego 2015,,,,
Drexel University,95,2015,Drexel University 2015,,,,
Saint Louis University,99,2015,Saint Louis University 2015,,,,
Auburn University,103,2015,Auburn University 2015,,,,
Stony Brook University,88,2015,Stony Brook University 2015,,,,
Florida State University,95,2015,Florida State University 2015,,,,
North Carolina State University at Raleigh,95,2015,North Carolina State University at Raleigh 2015,,,,
University of Missouri-Columbia,99,2015,University of Missouri-Columbia 2015,,,,
University of New Hampshire-Main Campus,99,2015,University of New Hampshire-Main Campus 2015,,,,
The University of Tennessee-Knoxville,106,2015,The University of Tennessee-Knoxville 2015,,,,
Iowa State University,106,2015,Iowa State University 2015,,,,
University of Oklahoma-Norman Campus,106,2015,University of Oklahoma-Norman Campus 2015,,,,
University of Nebraska-Lincoln,99,2015,University of Nebraska-Lincoln 2015,,,,
University at Buffalo,103,2015,University at Buffalo 2015,,,,
Loyola University Chicago,106,2015,Loyola University Chicago 2015,,,,
University of Oregon,106,2015,University of Oregon 2015,,,,
University of the Pacific,116,2015,University of the Pacific 2015,,,,
University of Kansas,106,2015,University of Kansas 2015,,,,
University of Dayton,103,2015,University of Dayton 2015,,,,
Illinois Institute of Technology,116,2015,Illinois Institute of Technology 2015,,,,
University of South Carolina-Columbia,113,2015,University of South Carolina-Columbia 2015,,,,
University of California-Riverside,113,2015,University of California-Riverside 2015,,,,
Michigan Technological University,116,2015,Michigan Technological University 2015,,,,
Catholic University of America,116,2015,Catholic University of America 2015,,,,
Clarkson University,121,2015,Clarkson University 2015,,,,
University of Arizona,121,2015,University of Arizona 2015,,,,
Howard University,145,2015,Howard University 2015,,,,
Colorado State University-Fort Collins,121,2015,Colorado State University-Fort Collins 2015,,,,
University of Kentucky,129,2015,University of Kentucky 2015,,,,
Arizona State University-Tempe,129,2015,Arizona State University-Tempe 2015,,,,
University of Arkansas,135,2015,University of Arkansas 2015,,,,
Princeton University,1,2014,Princeton University 2014,,,,
Harvard University,2,2014,Harvard University 2014,,,,
Yale University,3,2014,Yale University 2014,,,,
Columbia University in the City of New York,4,2014,Columbia University in the City of New York 2014,,,,
University of Chicago,5,2014,University of Chicago 2014,,,,
Stanford University,5,2014,Stanford University 2014,,,,
Massachusetts Institute of Technology,7,2014,Massachusetts Institute of Technology 2014,,,,
Pennsylvania State University-Main Campus,7,2014,Pennsylvania State University-Main Campus 2014,,,,
Duke University,7,2014,Duke University 2014,,,,
California Institute of Technology,10,2014,California Institute of Technology 2014,,,,
Dartmouth College,10,2014,Dartmouth College 2014,,,,
Johns Hopkins University,12,2014,Johns Hopkins University 2014,,,,
Northwestern University,12,2014,Northwestern University 2014,,,,
Brown University,14,2014,Brown University 2014,,,,
Cornell University,16,2014,Cornell University 2014,,,,
Washington University in St. Louis,14,2014,Washington University in St. Louis 2014,,,,
Vanderbilt University,17,2014,Vanderbilt University 2014,,,,
Rice University,18,2014,Rice University 2014,,,,
University of Notre Dame,18,2014,University of Notre Dame 2014,,,,
Emory University,20,2014,Emory University 2014,,,,
UC University of California-Berkeley,20,2014,UC University of California-Berkeley 2014,,,,
Georgetown University,20,2014,Georgetown University 2014,,,,
University of Southern California,23,2014,University of Southern California 2014,,,,
University of California-Los Angeles,23,2014,University of California-Los Angeles 2014,,,,
Carnegie Mellon University,23,2014,Carnegie Mellon University 2014,,,,
University of Virginia-Main Campus,23,2014,University of Virginia-Main Campus 2014,,,,
Wake Forest University,23,2014,Wake Forest University 2014,,,,
Tufts University,28,2014,Tufts University 2014,,,,
University of Michigan-Ann Arbor,28,2014,University of Michigan-Ann Arbor 2014,,,,
University of North Carolina at Chapel Hill,30,2014,University of North Carolina at Chapel Hill 2014,,,,
Boston College,31,2014,Boston College 2014,,,,
New York University,32,2014,New York University 2014,,,,
College of William and Mary,32,2014,College of William and Mary 2014,,,,
Brandeis University,32,2014,Brandeis University 2014,,,,
University of Rochester,32,2014,University of Rochester 2014,,,,
Georgia Institute of Technology-Main Campus,36,2014,Georgia Institute of Technology-Main Campus 2014,,,,
Case Western Reserve University,37,2014,Case Western Reserve University 2014,,,,
University of California-San Diego,39,2014,University of California-San Diego 2014,,,,
University of California-Santa Barbara,41,2014,University of California-Santa Barbara 2014,,,,
University of California-Davis,39,2014,University of California-Davis 2014,,,,
Lehigh University,41,2014,Lehigh University 2014,,,,
Rensselaer Polytechnic Institute,41,2014,Rensselaer Polytechnic Institute 2014,,,,
University of California-Irvine,49,2014,University of California-Irvine 2014,,,,
University of Wisconsin-Madison,41,2014,University of Wisconsin-Madison 2014,,,,
University of Illinois at Urbana-Champaign,41,2014,University of Illinois at Urbana-Champaign 2014,,,,
Boston University,41,2014,Boston University 2014,,,,
University of Miami,47,2014,University of Miami 2014,,,,
Pennsylvania State University-Main Campus State,37,2014,Pennsylvania State University-Main Campus State 2014,,,,
Tulane University of Louisiana,52,2014,Tulane University of Louisiana 2014,,,,
University of Washington-Seattle Campus ,52,2014,University of Washington-Seattle Campus  2014,,,,
University of Florida,49,2014,University of Florida 2014,,,,
Northeastern University,49,2014,Northeastern University 2014,,,,
The University of Texas at Austin,52,2014,The University of Texas at Austin 2014,,,,
Pepperdine University,57,2014,Pepperdine University 2014,,,,
George Washington University,52,2014,George Washington University 2014,,,,
Ohio State University-Main Campus,52,2014,Ohio State University-Main Campus 2014,,,,
Yeshiva University,47,2014,Yeshiva University 2014,,,,
Fordham University,57,2014,Fordham University 2014,,,,
University of Maryland-College Park,62,2014,University of Maryland-College Park 2014,,,,
Southern Methodist University,60,2014,Southern Methodist University 2014,,,,
University of Georgia,60,2014,University of Georgia 2014,,,,
Syracuse University,62,2014,Syracuse University 2014,,,,
University of Connecticut,57,2014,University of Connecticut 2014,,,,
Purdue University-Main Campus,68,2014,Purdue University-Main Campus 2014,,,,
Worcester Polytechnic Institute,62,2014,Worcester Polytechnic Institute 2014,,,,
University of Pittsburgh-Pittsburgh Campus,62,2014,University of Pittsburgh-Pittsburgh Campus 2014,,,,
Clemson University,62,2014,Clemson University 2014,,,,
Brigham Young University-Provo,62,2014,Brigham Young University-Provo 2014,,,,
Texas A & M University-College Station,69,2014,Texas A & M University-College Station 2014,,,,
University of Minnesota-Twin Cities,69,2014,University of Minnesota-Twin Cities 2014,,,,
Rutgers University-New Brunswick,69,2014,Rutgers University-New Brunswick 2014,,,,
Virginia Polytechnic Institute and State University,69,2014,Virginia Polytechnic Institute and State University 2014,,,,
Baylor University,75,2014,Baylor University 2014,,,,
American University,75,2014,American University 2014,,,,
University of Iowa,73,2014,University of Iowa 2014,,,,
University of Delaware,75,2014,University of Delaware 2014,,,,
Michigan State University,73,2014,Michigan State University 2014,,,,
Stevens Institute of Technology,82,2014,Stevens Institute of Technology 2014,,,,
Colorado School of Mines,91,2014,Colorado School of Mines 2014,,,,
Indiana University-Bloomington,75,2014,Indiana University-Bloomington 2014,,,,
UC University of California-Santa Cruz,86,2014,UC University of California-Santa Cruz 2014,,,,
Clark University,75,2014,Clark University 2014,,,,
Miami University-Oxford,75,2014,Miami University-Oxford 2014,,,,
Marquette University,75,2014,Marquette University 2014,,,,
University of Massachusetts-Amherst,91,2014,University of Massachusetts-Amherst 2014,,,,
University of Tulsa,86,2014,University of Tulsa 2014,,,,
Texas Christian University,82,2014,Texas Christian University 2014,,,,
University of Denver,91,2014,University of Denver 2014,,,,
Binghamton University,97,2014,Binghamton University 2014,,,,
University of Vermont,82,2014,University of Vermont 2014,,,,
The University of Alabama,86,2014,The University of Alabama 2014,,,,
University of Colorado Boulder,86,2014,University of Colorado Boulder 2014,,,,
University of San Diego,91,2014,University of San Diego 2014,,,,
Drexel University,97,2014,Drexel University 2014,,,,
Saint Louis University,101,2014,Saint Louis University 2014,,,,
Auburn University,91,2014,Auburn University 2014,,,,
Stony Brook University,82,2014,Stony Brook University 2014,,,,
Florida State University,91,2014,Florida State University 2014,,,,
North Carolina State University at Raleigh,101,2014,North Carolina State University at Raleigh 2014,,,,
University of Missouri-Columbia,97,2014,University of Missouri-Columbia 2014,,,,
University of New Hampshire-Main Campus,97,2014,University of New Hampshire-Main Campus 2014,,,,
The University of Tennessee-Knoxville,101,2014,The University of Tennessee-Knoxville 2014,,,,
Iowa State University,101,2014,Iowa State University 2014,,,,
University of Oklahoma-Norman Campus,101,2014,University of Oklahoma-Norman Campus 2014,,,,
University of Nebraska-Lincoln,101,2014,University of Nebraska-Lincoln 2014,,,,
University at Buffalo,109,2014,University at Buffalo 2014,,,,
Loyola University Chicago,101,2014,Loyola University Chicago 2014,,,,
University of Oregon,109,2014,University of Oregon 2014,,,,
University of the Pacific,112,2014,University of the Pacific 2014,,,,
University of Kansas,101,2014,University of Kansas 2014,,,,
University of Dayton,112,2014,University of Dayton 2014,,,,
Illinois Institute of Technology,109,2014,Illinois Institute of Technology 2014,,,,
University of South Carolina-Columbia,112,2014,University of South Carolina-Columbia 2014,,,,
University of California-Riverside,112,2014,University of California-Riverside 2014,,,,
Michigan Technological University,117,2014,Michigan Technological University 2014,,,,
Catholic University of America,121,2014,Catholic University of America 2014,,,,
Clarkson University,121,2014,Clarkson University 2014,,,,
University of Arizona,119,2014,University of Arizona 2014,,,,
Howard University,142,2014,Howard University 2014,,,,
Colorado State University-Fort Collins,121,2014,Colorado State University-Fort Collins 2014,,,,
University of Kentucky,119,2014,University of Kentucky 2014,,,,
Arizona State University-Tempe,142,2014,Arizona State University-Tempe 2014,,,,
University of Arkansas,128,2014,University of Arkansas 2014,,,,
Princeton University,1,2013,Princeton University 2013,,,,
Harvard University,1,2013,Harvard University 2013,,,,
Yale University,3,2013,Yale University 2013,,,,
Columbia University in the City of New York,4,2013,Columbia University in the City of New York 2013,,,,
University of Chicago,4,2013,University of Chicago 2013,,,,
Stanford University,6,2013,Stanford University 2013,,,,
Massachusetts Institute of Technology,6,2013,Massachusetts Institute of Technology 2013,,,,
Pennsylvania State University-Main Campus,8,2013,Pennsylvania State University-Main Campus 2013,,,,
Duke University,8,2013,Duke University 2013,,,,
California Institute of Technology,10,2013,California Institute of Technology 2013,,,,
Dartmouth College,10,2013,Dartmouth College 2013,,,,
Johns Hopkins University,13,2013,Johns Hopkins University 2013,,,,
Northwestern University,12,2013,Northwestern University 2013,,,,
Brown University,15,2013,Brown University 2013,,,,
Cornell University,15,2013,Cornell University 2013,,,,
Washington University in St. Louis,14,2013,Washington University in St. Louis 2013,,,,
Vanderbilt University,17,2013,Vanderbilt University 2013,,,,
Rice University,17,2013,Rice University 2013,,,,
University of Notre Dame,17,2013,University of Notre Dame 2013,,,,
Emory University,20,2013,Emory University 2013,,,,
UC University of California-Berkeley,21,2013,UC University of California-Berkeley 2013,,,,
Georgetown University,21,2013,Georgetown University 2013,,,,
University of Southern California,24,2013,University of Southern California 2013,,,,
University of California-Los Angeles,24,2013,University of California-Los Angeles 2013,,,,
Carnegie Mellon University,23,2013,Carnegie Mellon University 2013,,,,
University of Virginia-Main Campus,24,2013,University of Virginia-Main Campus 2013,,,,
Wake Forest University,27,2013,Wake Forest University 2013,,,,
Tufts University,28,2013,Tufts University 2013,,,,
University of Michigan-Ann Arbor,29,2013,University of Michigan-Ann Arbor 2013,,,,
University of North Carolina at Chapel Hill,30,2013,University of North Carolina at Chapel Hill 2013,,,,
Boston College,31,2013,Boston College 2013,,,,
New York University,32,2013,New York University 2013,,,,
College of William and Mary,33,2013,College of William and Mary 2013,,,,
Brandeis University,33,2013,Brandeis University 2013,,,,
University of Rochester,33,2013,University of Rochester 2013,,,,
Georgia Institute of Technology-Main Campus,36,2013,Georgia Institute of Technology-Main Campus 2013,,,,
Case Western Reserve University,37,2013,Case Western Reserve University 2013,,,,
University of California-San Diego,38,2013,University of California-San Diego 2013,,,,
University of California-Santa Barbara,41,2013,University of California-Santa Barbara 2013,,,,
University of California-Davis,38,2013,University of California-Davis 2013,,,,
Lehigh University,38,2013,Lehigh University 2013,,,,
Rensselaer Polytechnic Institute,41,2013,Rensselaer Polytechnic Institute 2013,,,,
University of California-Irvine,44,2013,University of California-Irvine 2013,,,,
University of Wisconsin-Madison,41,2013,University of Wisconsin-Madison 2013,,,,
University of Illinois at Urbana-Champaign,46,2013,University of Illinois at Urbana-Champaign 2013,,,,
Boston University,51,2013,Boston University 2013,,,,
University of Miami,44,2013,University of Miami 2013,,,,
Pennsylvania State University-Main Campus State,46,2013,Pennsylvania State University-Main Campus State 2013,,,,
Tulane University of Louisiana,51,2013,Tulane University of Louisiana 2013,,,,
University of Washington-Seattle Campus ,46,2013,University of Washington-Seattle Campus  2013,,,,
University of Florida,54,2013,University of Florida 2013,,,,
Northeastern University,56,2013,Northeastern University 2013,,,,
The University of Texas at Austin,46,2013,The University of Texas at Austin 2013,,,,
Pepperdine University,54,2013,Pepperdine University 2013,,,,
George Washington University,51,2013,George Washington University 2013,,,,
Ohio State University-Main Campus,56,2013,Ohio State University-Main Campus 2013,,,,
Yeshiva University,46,2013,Yeshiva University 2013,,,,
Fordham University,58,2013,Fordham University 2013,,,,
University of Maryland-College Park,58,2013,University of Maryland-College Park 2013,,,,
Southern Methodist University,58,2013,Southern Methodist University 2013,,,,
University of Georgia,63,2013,University of Georgia 2013,,,,
Syracuse University,58,2013,Syracuse University 2013,,,,
University of Connecticut,63,2013,University of Connecticut 2013,,,,
Purdue University-Main Campus,65,2013,Purdue University-Main Campus 2013,,,,
Worcester Polytechnic Institute,65,2013,Worcester Polytechnic Institute 2013,,,,
University of Pittsburgh-Pittsburgh Campus,58,2013,University of Pittsburgh-Pittsburgh Campus 2013,,,,
Clemson University,68,2013,Clemson University 2013,,,,
Brigham Young University-Provo,68,2013,Brigham Young University-Provo 2013,,,,
Texas A & M University-College Station,65,2013,Texas A & M University-College Station 2013,,,,
University of Minnesota-Twin Cities,68,2013,University of Minnesota-Twin Cities 2013,,,,
Rutgers University-New Brunswick,68,2013,Rutgers University-New Brunswick 2013,,,,
Virginia Polytechnic Institute and State University,72,2013,Virginia Polytechnic Institute and State University 2013,,,,
Baylor University,77,2013,Baylor University 2013,,,,
American University,77,2013,American University 2013,,,,
University of Iowa,72,2013,University of Iowa 2013,,,,
University of Delaware,75,2013,University of Delaware 2013,,,,
Michigan State University,72,2013,Michigan State University 2013,,,,
Stevens Institute of Technology,75,2013,Stevens Institute of Technology 2013,,,,
Colorado School of Mines,77,2013,Colorado School of Mines 2013,,,,
Indiana University-Bloomington,83,2013,Indiana University-Bloomington 2013,,,,
UC University of California-Santa Cruz,77,2013,UC University of California-Santa Cruz 2013,,,,
